driver_id,first_name,last_name,phone_number,email,license_number,vehicle,account_creation_date
D75259,Francisca,Gámez,+34 971 31 97 20,gámez388@outlook.com,HA662459,Hyundai SUV 2017,2022-08-20
D30964,Manuela,Peláez,+34922 67 60 69,peláez153@yahoo.com,YA605538,Chevrolet Hatchback 2022,2022-10-25
D98643,Florencia,Carreño,+34 930733327,carreño825@outlook.com,UH295475,Hyundai Truck 2023,2022-05-16
D27916,Maura,Linares,+34827 06 14 56,linares925@gmail.com,MG036740,Hyundai Coupe 2017,2022-06-24
D70276,Clotilde,Tovar,+34 627 65 62 94,tovar237@hotmail.com,EL468385,Ford Truck 2023,2021-02-10
D33500,Fernanda,Ramis,+34 841 06 10 77,ramis247@outlook.com,ZA439940,Mercedes-Benz SUV 2021,2020-05-17
D87257,Amalia,Puig,+34 981029194,puig147@gmail.com,OC329154,Toyota Coupe 2021,2023-01-15
D13004,Marianela,Iñiguez,+34821 723 884,iñiguez993@yahoo.com,RI750874,Nissan Coupe 2017,2024-01-11
D51522,Patricio,Rey,+34 887945575,rey920@aol.com,XX090557,Tesla Sedan 2016,2023-07-06
D79424,Isabela,Crespo,+34 949 36 17 33,crespo958@gmail.com,YX895963,Audi Hatchback 2020,2020-12-28
D90911,Albert,Farré,+34975 22 51 10,farré632@outlook.com,KW341192,BMW Coupe 2021,2023-06-27
D53879,Luciano,Fonseca,+34803 394 131,fonseca258@gmail.com,BZ122247,BMW Sedan 2017,2020-09-29
D71636,Óscar,Mate,+34927 972 848,mate444@yahoo.com,NE908762,Audi SUV 2016,2022-03-20
D21754,Azucena,Montoya,+34864 692 446,montoya286@yahoo.com,ZQ506383,Volkswagen Hatchback 2022,2022-11-08
D14140,Felicia,Barbero,+34926 439 337,barbero828@hotmail.com,YD115762,Nissan Hatchback 2018,2020-03-28
D29726,Pacífica,Cañete,+34816 888 825,cañete331@yahoo.com,BB397140,Honda Sedan 2023,2021-12-07
D35736,Cornelio,Zabaleta,+34 703 38 03 90,zabaleta692@yahoo.com,VP848922,Honda Hatchback 2020,2023-02-14
D52593,Mirta,Quesada,+34941 20 18 60,quesada23@outlook.com,YT307038,Subaru SUV 2020,2021-11-26
D47353,Lalo,Pino,+34927790674,pino709@gmail.com,GP816958,Nissan Truck 2021,2023-04-07
D74956,Ainara,López,+34 978 67 31 45,lópez513@outlook.com,XN262716,Chevrolet SUV 2019,2023-07-29
D81309,Gabriel,Ferrán,+34 972 405 616,ferrán521@hotmail.com,DN232637,Nissan Sedan 2023,2022-10-09
D79002,Celso,Nadal,+34 923 11 76 08,nadal123@gmail.com,IN762781,Subaru SUV 2016,2021-09-02
D39590,Domingo,Marqués,+34 849 309 198,marqués515@aol.com,QX649996,Jeep Sedan 2016,2021-10-14
D59804,Mercedes,Blanch,+34987732088,blanch839@hotmail.com,RF800902,Nissan Coupe 2018,2022-02-10
D36487,Ruben,Pagès,+34 846 247 769,pagès603@aol.com,XG608754,Volkswagen Truck 2015,2020-09-30
D75788,Feliciana,Cal,+34942950254,cal803@hotmail.com,AT800206,Audi SUV 2023,2022-11-15
D53755,Alba,Verdú,+34980868265,verdú82@outlook.com,WM135109,Jeep Sedan 2022,2022-05-03
D82686,Bartolomé,Alfaro,+34949963957,alfaro678@aol.com,OP900846,Audi Hatchback 2020,2023-11-18
D24563,Candelas,Roldan,+34 822236195,roldan911@outlook.com,VN487656,Subaru SUV 2018,2021-11-13
D19841,Reynaldo,Camacho,+34 720 01 74 35,camacho591@gmail.com,MG845780,BMW Hatchback 2016,2021-08-13
D46517,Godofredo,Aller,+34806 824 550,aller869@aol.com,MN040454,Jeep Truck 2023,2022-11-05
D85367,Marina,Sarmiento,+34866 35 59 64,sarmiento694@yahoo.com,ZV526254,Volkswagen Sedan 2020,2023-07-20
D50351,Camilo,Arellano,+34 837 44 47 14,arellano268@hotmail.com,EZ952505,Mazda Coupe 2017,2020-11-24
D89555,Natanael,Romero,+34 823457251,romero735@gmail.com,GS332364,Hyundai SUV 2019,2020-07-27
D57082,Salvador,Calvet,+34902 084 507,calvet117@hotmail.com,FV702802,Audi Sedan 2022,2023-06-09
D43874,Sebastian,Juárez,+34842 89 77 05,juárez57@gmail.com,XG292001,Toyota Truck 2015,2020-07-03
